hexsha,patch,summary,author
7ef2408a96c4,https://github.com/qemu/qemu/commit/7ef2408a96c4,virtiofsd: Add missing newline in error message,Hubert Jasudowicz
34f5e75a9427,https://github.com/qemu/qemu/commit/34f5e75a9427,target/mips: Fix missing else in gen_goto_tb,Richard Henderson
838e37007cae,https://github.com/qemu/qemu/commit/838e37007cae,vl: fix leak of qdict_crumple return value,Paolo Bonzini
2b02aabc9d02,https://github.com/qemu/qemu/commit/2b02aabc9d02,hw/nvme: fix missing check for PMR capability,Klaus Jensen
6eb223104c4e,https://github.com/qemu/qemu/commit/6eb223104c4e,target/mips: Fix more TCG temporary leaks in gen_pool32a5_nanomips_insn,Philippe Mathieu-Daudé
96342d53a881,https://github.com/qemu/qemu/commit/96342d53a881,target/mips: Fix TCG temporary leaks in gen_pool32a5_nanomips_insn(),Philippe Mathieu-Daudé
2a25def4be09,https://github.com/qemu/qemu/commit/2a25def4be09,block/nbd: nbd_client_handshake(): fix leak of s->ioc,Vladimir Sementsov-Ogievskiy
3687ad49038e,https://github.com/qemu/qemu/commit/3687ad49038e,block/nbd: fix channel object leak,Roman Kagan
38f71349c7c4,https://github.com/qemu/qemu/commit/38f71349c7c4,vl: Fix an assert failure in error path,Zhenzhong Duan
2c398ee5e3a4,https://github.com/qemu/qemu/commit/2c398ee5e3a4,tests/qtest/hd-geo-test: Fix checks on mkstemp() return value,Peter Maydell
6e0c60a2be30,https://github.com/qemu/qemu/commit/6e0c60a2be30,target/arm: fix missing exception class,Jamie Iles
300137965dba,https://github.com/qemu/qemu/commit/300137965dba,target/arm: Fix return values in fp_sysreg_checks(),Peter Maydell
63736af5a657,https://github.com/qemu/qemu/commit/63736af5a657,vhost-user-gpu: fix memory leak in 'virgl_resource_attach_backing' (CVE-2021-3544),Li Qiang
f6091d86ba9e,https://github.com/qemu/qemu/commit/f6091d86ba9e,vhost-user-gpu: fix memory leak in 'virgl_cmd_resource_unref' (CVE-2021-3544),Li Qiang
b7afebcf9e6e,https://github.com/qemu/qemu/commit/b7afebcf9e6e,vhost-user-gpu: fix memory leak while calling 'vg_resource_unref' (CVE-2021-3544),Li Qiang
b9f79858a614,https://github.com/qemu/qemu/commit/b9f79858a614,vhost-user-gpu: fix memory leak in vg_resource_attach_backing (CVE-2021-3544),Li Qiang
86dd8fac2acc,https://github.com/qemu/qemu/commit/86dd8fac2acc,vhost-user-gpu: fix resource leak in 'vg_resource_create_2d' (CVE-2021-3544),Li Qiang
f53b450ada3b,https://github.com/qemu/qemu/commit/f53b450ada3b,migration/rdma: Fix rdma_addrinfo res leaks,Li Zhijian
4e812d2338ac,https://github.com/qemu/qemu/commit/4e812d2338ac,migration/rdma: cleanup rdma in rdma_start_incoming_migration error path,Li Zhijian
e3fc91aaaacb,https://github.com/qemu/qemu/commit/e3fc91aaaacb,block: Fix Transaction leak in bdrv_reopen_multiple(),Kevin Wolf
e878bb1293d2,https://github.com/qemu/qemu/commit/e878bb1293d2,block: Fix Transaction leak in bdrv_root_attach_child(),Kevin Wolf
ec6b219a4e25,https://github.com/qemu/qemu/commit/ec6b219a4e25,tests/tcg: fix missing return,Alex Bennée
b6d003dbee81,https://github.com/qemu/qemu/commit/b6d003dbee81,cutils: fix memory leak in get_relocated_path(),Stefano Garzarella
4962b312cd2a,https://github.com/qemu/qemu/commit/4962b312cd2a,virtiofsd: Fix check of chown()'s return value,Greg Kurz
7c06a34c8c4f,https://github.com/qemu/qemu/commit/7c06a34c8c4f,ui: Fix memory leak in qemu_xkeymap_mapping_table(),Philippe Mathieu-Daudé
298d43c96b0f,https://github.com/qemu/qemu/commit/298d43c96b0f,target/mips: Add missing CP0 check to nanoMIPS RDPGPR / WRPGPR opcodes,Philippe Mathieu-Daudé
f4349ba966ab,https://github.com/qemu/qemu/commit/f4349ba966ab,target/mips: Fix TCG temporary leak in gen_cache_operation(),Philippe Mathieu-Daudé
